Epoch,Train Loss,Validation Loss,Train Size,Validation Size,Timestamp
1,1.0505038499832153,1.0577826499938965,1000,150,2025-04-09 09:35:25
2,1.0359078645706177,1.0440223217010498,1000,150,2025-04-09 09:35:25
3,1.0214930772781372,1.0304182767868042,1000,150,2025-04-09 09:35:25
4,1.0072559118270874,1.0169581174850464,1000,150,2025-04-09 09:35:25
5,0.9931931495666504,1.0036317110061646,1000,150,2025-04-09 09:35:25
6,0.9792981147766113,0.9904259443283081,1000,150,2025-04-09 09:35:25
7,0.9655556082725525,0.9773351550102234,1000,150,2025-04-09 09:35:25
8,0.9519550204277039,0.9643520712852478,1000,150,2025-04-09 09:35:25
9,0.938492476940155,0.9514761567115784,1000,150,2025-04-09 09:35:25
10,0.9251613616943359,0.9386811852455139,1000,150,2025-04-09 09:35:25
11,0.9119502902030945,0.9259673357009888,1000,150,2025-04-09 09:35:25
12,0.8988496661186218,0.9133233428001404,1000,150,2025-04-09 09:35:25
13,0.8858467936515808,0.9007411599159241,1000,150,2025-04-09 09:35:25
14,0.8729349970817566,0.8882209658622742,1000,150,2025-04-09 09:35:25
15,0.8601062893867493,0.8757531046867371,1000,150,2025-04-09 09:35:25
16,0.8473509550094604,0.8633174300193787,1000,150,2025-04-09 09:35:25
17,0.8346642851829529,0.8509072661399841,1000,150,2025-04-09 09:35:25
18,0.8220338821411133,0.838519275188446,1000,150,2025-04-09 09:35:25
19,0.8094518184661865,0.826147198677063,1000,150,2025-04-09 09:35:25
20,0.7969139218330383,0.8137774467468262,1000,150,2025-04-09 09:35:25
21,0.7844094634056091,0.8014030456542969,1000,150,2025-04-09 09:35:25
22,0.771937906742096,0.7890191078186035,1000,150,2025-04-09 09:35:25
23,0.7594956755638123,0.776624858379364,1000,150,2025-04-09 09:35:25
24,0.7470754981040955,0.7642136812210083,1000,150,2025-04-09 09:35:25
25,0.7346736788749695,0.7517964839935303,1000,150,2025-04-09 09:35:25
26,0.722289502620697,0.7393789291381836,1000,150,2025-04-09 09:35:25
27,0.7099200487136841,0.7269435524940491,1000,150,2025-04-09 09:35:25
28,0.6975613832473755,0.7145004868507385,1000,150,2025-04-09 09:35:25
29,0.6852161288261414,0.7020471692085266,1000,150,2025-04-09 09:35:25
30,0.6728826761245728,0.6895690560340881,1000,150,2025-04-09 09:35:25
31,0.6605609655380249,0.6770679354667664,1000,150,2025-04-09 09:35:25
32,0.6482508182525635,0.6645524501800537,1000,150,2025-04-09 09:35:25
33,0.6359508633613586,0.6520281434059143,1000,150,2025-04-09 09:35:25
34,0.6236658692359924,0.6394985318183899,1000,150,2025-04-09 09:35:25
35,0.6114014387130737,0.6269637942314148,1000,150,2025-04-09 09:35:25
36,0.5991604924201965,0.6144307851791382,1000,150,2025-04-09 09:35:25
37,0.5869427919387817,0.6019079089164734,1000,150,2025-04-09 09:35:25
38,0.5747518539428711,0.5894009470939636,1000,150,2025-04-09 09:35:25
39,0.5625953674316406,0.5769132971763611,1000,150,2025-04-09 09:35:25
40,0.5504743456840515,0.5644453763961792,1000,150,2025-04-09 09:35:25
41,0.5383902192115784,0.5520055890083313,1000,150,2025-04-09 09:35:25
42,0.526350736618042,0.5395912528038025,1000,150,2025-04-09 09:35:25
43,0.5143608450889587,0.527205228805542,1000,150,2025-04-09 09:35:25
44,0.5024259090423584,0.5148691534996033,1000,150,2025-04-09 09:35:25
45,0.4905492961406708,0.5025820732116699,1000,150,2025-04-09 09:35:25
46,0.4787425696849823,0.49035558104515076,1000,150,2025-04-09 09:35:25
47,0.4670124650001526,0.47818809747695923,1000,150,2025-04-09 09:35:25
48,0.45536506175994873,0.4661027789115906,1000,150,2025-04-09 09:35:25
49,0.44380608201026917,0.45410534739494324,1000,150,2025-04-09 09:35:25
50,0.43234455585479736,0.44220396876335144,1000,150,2025-04-09 09:35:25
51,0.42098674178123474,0.4304007887840271,1000,150,2025-04-09 09:35:25
52,0.40973910689353943,0.41870564222335815,1000,150,2025-04-09 09:35:25
53,0.3986070156097412,0.4071177840232849,1000,150,2025-04-09 09:35:25
54,0.3875991106033325,0.3956494927406311,1000,150,2025-04-09 09:35:25
55,0.3767222464084625,0.3843129873275757,1000,150,2025-04-09 09:35:25
56,0.365983784198761,0.37310847640037537,1000,150,2025-04-09 09:35:25
57,0.35538724064826965,0.36204129457473755,1000,150,2025-04-09 09:35:25
58,0.34493979811668396,0.35112735629081726,1000,150,2025-04-09 09:35:25
59,0.33464863896369934,0.3403732180595398,1000,150,2025-04-09 09:35:25
60,0.32451939582824707,0.329784095287323,1000,150,2025-04-09 09:35:25
61,0.3145538866519928,0.3193683624267578,1000,150,2025-04-09 09:35:25
62,0.3047579526901245,0.3091326653957367,1000,150,2025-04-09 09:35:25
63,0.2951396703720093,0.29907935857772827,1000,150,2025-04-09 09:35:25
64,0.28570306301116943,0.2892167866230011,1000,150,2025-04-09 09:35:25
65,0.27645325660705566,0.27954909205436707,1000,150,2025-04-09 09:35:25
66,0.26739442348480225,0.2700856029987335,1000,150,2025-04-09 09:35:25
67,0.2585303485393524,0.26082977652549744,1000,150,2025-04-09 09:35:25
68,0.24986135959625244,0.2517825961112976,1000,150,2025-04-09 09:35:25
69,0.24139130115509033,0.242951437830925,1000,150,2025-04-09 09:35:25
70,0.23312026262283325,0.23433689773082733,1000,150,2025-04-09 09:35:25
71,0.22504892945289612,0.2259441465139389,1000,150,2025-04-09 09:35:25
72,0.217180535197258,0.2177715003490448,1000,150,2025-04-09 09:35:25
73,0.20951437950134277,0.209815114736557,1000,150,2025-04-09 09:35:25
74,0.20205144584178925,0.20208309590816498,1000,150,2025-04-09 09:35:25
75,0.19479268789291382,0.1945722997188568,1000,150,2025-04-09 09:35:26
76,0.18773818016052246,0.18728326261043549,1000,150,2025-04-09 09:35:26
77,0.18088728189468384,0.18021847307682037,1000,150,2025-04-09 09:35:26
78,0.17424122989177704,0.1733773648738861,1000,150,2025-04-09 09:35:26
79,0.16779965162277222,0.16675235331058502,1000,150,2025-04-09 09:35:26
80,0.16155879199504852,0.1603466123342514,1000,150,2025-04-09 09:35:26
81,0.15551765263080597,0.15415947139263153,1000,150,2025-04-09 09:35:26
82,0.14967480301856995,0.14818905293941498,1000,150,2025-04-09 09:35:26
83,0.1440269500017166,0.14243026077747345,1000,150,2025-04-09 09:35:26
84,0.13857096433639526,0.1368774175643921,1000,150,2025-04-09 09:35:26
85,0.1333053708076477,0.1315280944108963,1000,150,2025-04-09 09:35:26
86,0.1282283365726471,0.12637944519519806,1000,150,2025-04-09 09:35:26
87,0.12333668023347855,0.12143104523420334,1000,150,2025-04-09 09:35:26
88,0.11862602084875107,0.11667729169130325,1000,150,2025-04-09 09:35:26
89,0.11409258842468262,0.11211486160755157,1000,150,2025-04-09 09:35:26
90,0.109733447432518,0.10773889720439911,1000,150,2025-04-09 09:35:26
91,0.10554375499486923,0.10354901850223541,1000,150,2025-04-09 09:35:26
92,0.1015196442604065,0.09953660517930984,1000,150,2025-04-09 09:35:26
93,0.09765703976154327,0.09569486230611801,1000,150,2025-04-09 09:35:26
94,0.09395191818475723,0.0920182392001152,1000,150,2025-04-09 09:35:26
95,0.09040042012929916,0.08850329369306564,1000,150,2025-04-09 09:35:26
96,0.08699844777584076,0.08514376729726791,1000,150,2025-04-09 09:35:26
97,0.08374141901731491,0.08193368464708328,1000,150,2025-04-09 09:35:26
98,0.08062446117401123,0.07886860519647598,1000,150,2025-04-09 09:35:26
99,0.07764313369989395,0.07594208419322968,1000,150,2025-04-09 09:35:26
100,0.07479233294725418,0.07314979285001755,1000,150,2025-04-09 09:35:26
101,0.0720679983496666,0.07048892229795456,1000,150,2025-04-09 09:35:26
102,0.06946522742509842,0.0679529681801796,1000,150,2025-04-09 09:35:26
103,0.066979318857193,0.06553639471530914,1000,150,2025-04-09 09:35:26
104,0.06460575759410858,0.06323328614234924,1000,150,2025-04-09 09:35:26
105,0.062340788543224335,0.06104027107357979,1000,150,2025-04-09 09:35:26
106,0.06017976626753807,0.05895332992076874,1000,150,2025-04-09 09:35:26
107,0.05811899155378342,0.05696811527013779,1000,150,2025-04-09 09:35:26
108,0.05615406110882759,0.055079568177461624,1000,150,2025-04-09 09:35:26
109,0.054281193763017654,0.05328334867954254,1000,150,2025-04-09 09:35:26
110,0.05249635502696037,0.05157553032040596,1000,150,2025-04-09 09:35:26
111,0.050795748829841614,0.049952104687690735,1000,150,2025-04-09 09:35:26
112,0.04917562007904053,0.04840715602040291,1000,150,2025-04-09 09:35:26
113,0.0476321280002594,0.046936411410570145,1000,150,2025-04-09 09:35:26
114,0.04616245999932289,0.04554024711251259,1000,150,2025-04-09 09:35:26
115,0.04476314038038254,0.04421217367053032,1000,150,2025-04-09 09:35:26
116,0.043430395424366,0.042949408292770386,1000,150,2025-04-09 09:35:26
117,0.04216141998767853,0.041746653616428375,1000,150,2025-04-09 09:35:26
118,0.04095318913459778,0.040602777153253555,1000,150,2025-04-09 09:35:26
119,0.03980299457907677,0.039515528827905655,1000,150,2025-04-09 09:35:26
120,0.03870810940861702,0.03848123177886009,1000,150,2025-04-09 09:35:26
121,0.03766593337059021,0.03749768063426018,1000,150,2025-04-09 09:35:26
122,0.0366741344332695,0.03656234219670296,1000,150,2025-04-09 09:35:26
123,0.03573039174079895,0.03567270562052727,1000,150,2025-04-09 09:35:26
124,0.03483237326145172,0.034826479852199554,1000,150,2025-04-09 09:35:26
125,0.033977750688791275,0.0340205542743206,1000,150,2025-04-09 09:35:26
126,0.03316447138786316,0.03325292095541954,1000,150,2025-04-09 09:35:26
127,0.032390911132097244,0.03252219408750534,1000,150,2025-04-09 09:35:26
128,0.03165464848279953,0.03182622045278549,1000,150,2025-04-09 09:35:26
129,0.030953960493206978,0.031162835657596588,1000,150,2025-04-09 09:35:26
130,0.03028695471584797,0.030530955642461777,1000,150,2025-04-09 09:35:26
131,0.029652051627635956,0.02992909401655197,1000,150,2025-04-09 09:35:26
132,0.029047509655356407,0.02935533970594406,1000,150,2025-04-09 09:35:26
133,0.028471725061535835,0.028808262199163437,1000,150,2025-04-09 09:35:26
