Epoch,Train Loss,Validation Loss,Train Size,Validation Size,Timestamp
1,1.077514886856079,1.0902179479599,1000,150,2025-04-09 13:11:24
2,1.0645009279251099,1.077683925628662,1000,150,2025-04-09 13:11:24
3,1.0516666173934937,1.0653051137924194,1000,150,2025-04-09 13:11:24
4,1.0390021800994873,1.0530734062194824,1000,150,2025-04-09 13:11:24
5,1.026495099067688,1.0409719944000244,1000,150,2025-04-09 13:11:24
6,1.014137864112854,1.0289850234985352,1000,150,2025-04-09 13:11:24
7,1.00192129611969,1.0171023607254028,1000,150,2025-04-09 13:11:24
8,0.9898320436477661,1.0053203105926514,1000,150,2025-04-09 13:11:24
9,0.97785884141922,0.9936186075210571,1000,150,2025-04-09 13:11:24
10,0.9659976363182068,0.9819913506507874,1000,150,2025-04-09 13:11:24
11,0.9542374610900879,0.9704336524009705,1000,150,2025-04-09 13:11:24
12,0.9425723552703857,0.958932638168335,1000,150,2025-04-09 13:11:24
13,0.9309914112091064,0.9474819898605347,1000,150,2025-04-09 13:11:24
14,0.9194830656051636,0.9360751509666443,1000,150,2025-04-09 13:11:24
15,0.9080366492271423,0.9247047305107117,1000,150,2025-04-09 13:11:24
16,0.8966425657272339,0.9133617877960205,1000,150,2025-04-09 13:11:24
17,0.8852939605712891,0.9020273089408875,1000,150,2025-04-09 13:11:24
18,0.8739838004112244,0.8906902074813843,1000,150,2025-04-09 13:11:24
19,0.8627020120620728,0.8793454766273499,1000,150,2025-04-09 13:11:24
20,0.851440966129303,0.8679913878440857,1000,150,2025-04-09 13:11:24
21,0.8401926159858704,0.8566232919692993,1000,150,2025-04-09 13:11:24
22,0.8289466500282288,0.8452292680740356,1000,150,2025-04-09 13:11:24
23,0.8176917433738708,0.83381187915802,1000,150,2025-04-09 13:11:24
24,0.8064238429069519,0.8223612308502197,1000,150,2025-04-09 13:11:24
25,0.7951395511627197,0.8108736872673035,1000,150,2025-04-09 13:11:24
26,0.7838363647460938,0.7993506789207458,1000,150,2025-04-09 13:11:24
27,0.7725046277046204,0.7877728343009949,1000,150,2025-04-09 13:11:24
28,0.761141300201416,0.7761403918266296,1000,150,2025-04-09 13:11:24
29,0.7497432231903076,0.764456033706665,1000,150,2025-04-09 13:11:24
30,0.7383040189743042,0.7527141571044922,1000,150,2025-04-09 13:11:24
31,0.7268272042274475,0.7409184575080872,1000,150,2025-04-09 13:11:24
32,0.715304434299469,0.7290615439414978,1000,150,2025-04-09 13:11:24
33,0.7037366032600403,0.7171461582183838,1000,150,2025-04-09 13:11:24
34,0.69212806224823,0.7051684856414795,1000,150,2025-04-09 13:11:24
35,0.6804744005203247,0.693126380443573,1000,150,2025-04-09 13:11:24
36,0.6687765717506409,0.6810263991355896,1000,150,2025-04-09 13:11:24
37,0.6570366024971008,0.6688696146011353,1000,150,2025-04-09 13:11:24
38,0.6452553272247314,0.6566694378852844,1000,150,2025-04-09 13:11:24
39,0.633435845375061,0.6444205045700073,1000,150,2025-04-09 13:11:24
40,0.6215819120407104,0.6321215033531189,1000,150,2025-04-09 13:11:24
41,0.6096990704536438,0.6197850108146667,1000,150,2025-04-09 13:11:24
42,0.5977917909622192,0.6074088215827942,1000,150,2025-04-09 13:11:24
43,0.5858659148216248,0.5950025916099548,1000,150,2025-04-09 13:11:24
44,0.5739243030548096,0.5825744271278381,1000,150,2025-04-09 13:11:24
45,0.5619673132896423,0.570121169090271,1000,150,2025-04-09 13:11:24
46,0.5500078201293945,0.557654082775116,1000,150,2025-04-09 13:11:24
47,0.5380556583404541,0.5451839566230774,1000,150,2025-04-09 13:11:24
48,0.526110827922821,0.5327202677726746,1000,150,2025-04-09 13:11:24
49,0.5141841769218445,0.5202702879905701,1000,150,2025-04-09 13:11:24
50,0.5022870302200317,0.5078436732292175,1000,150,2025-04-09 13:11:24
51,0.49042993783950806,0.4954602122306824,1000,150,2025-04-09 13:11:24
52,0.4786209464073181,0.48312893509864807,1000,150,2025-04-09 13:11:24
53,0.46686244010925293,0.47085219621658325,1000,150,2025-04-09 13:11:24
54,0.45517057180404663,0.45863237977027893,1000,150,2025-04-09 13:11:24
55,0.44354966282844543,0.4464697241783142,1000,150,2025-04-09 13:11:24
56,0.432008296251297,0.43439358472824097,1000,150,2025-04-09 13:11:24
57,0.42055651545524597,0.4224158823490143,1000,150,2025-04-09 13:11:24
58,0.40920525789260864,0.41053152084350586,1000,150,2025-04-09 13:11:24
59,0.3979647755622864,0.398754745721817,1000,150,2025-04-09 13:11:24
60,0.3868442177772522,0.3870943784713745,1000,150,2025-04-09 13:11:24
61,0.37584683299064636,0.37557253241539,1000,150,2025-04-09 13:11:24
